Movie Report
------------

Frame #    Frame Bytes    Total Bytes    Page
-------    -----------    -----------    ---------------
    1           596            596        Scene 1
    2            45            641          2
    3            45            686          3
    4            45            731          4
    5            45            776          5
    6            46            822          6
    7            46            868          7
    8            46            914          8
    9            46            960          9
   10            46           1006          10
   11            46           1052          11
   12            46           1098          12
   13            46           1144          13
   14            46           1190          14
   15            46           1236          15
   16            46           1282          16
   17            46           1328          17
   18            46           1374          18
   19            46           1420          19
   20            46           1466          20
   21            46           1512          21
   22            46           1558          22
   23            46           1604          23
   24            46           1650          24
   25            46           1696          25
   26            46           1742          26
   27            46           1788          27
   28            46           1834          28
   29            46           1880          29
   30            46           1926          30
   31            46           1972          31
   32            46           2018          32
   33            46           2064          33
   34            46           2110          34
   35            46           2156          35
   36            46           2202          36
   37            46           2248          37
   38            46           2294          38
   39            46           2340          39
   40            46           2386          40
   41            46           2432          41
   42            47           2479          42
   43            47           2526          43
   44            47           2573          44
   45            47           2620          45
   46            47           2667          46
   47            47           2714          47
   48            47           2761          48
   49            47           2808          49
   50            47           2855          50
   51            47           2902          51
   52            47           2949          52
   53            47           2996          53
   54            47           3043          54
   55            47           3090          55
   56            47           3137          56
   57            47           3184          57
   58            47           3231          58
   59            47           3278          59
   60            47           3325          60
   61            47           3372          61
   62            47           3419          62
   63            47           3466          63
   64            47           3513          64
   65            47           3560          65
   66            47           3607          66
   67            47           3654          67
   68            47           3701          68
   69            47           3748          69
   70            47           3795          70
   71            47           3842          71
   72            47           3889          72
   73            47           3936          73
   74            47           3983          74
   75            47           4030          75
   76            47           4077          76
   77            47           4124          77
   78            47           4171          78
   79            47           4218          79
   80            47           4265          80
   81            46           4311          81
   82            46           4357          82
   83            46           4403          83
   84            46           4449          84
   85            46           4495          85
   86            46           4541          86
   87            46           4587          87
   88            46           4633          88
   89            46           4679          89
   90            46           4725          90
   91            46           4771          91
   92            46           4817          92
   93            46           4863          93
   94            46           4909          94
   95            46           4955          95
   96            46           5001          96
   97            46           5047          97
   98            46           5093          98
   99            46           5139          99
  100            46           5185          100
  101            46           5231          101
  102            46           5277          102
  103            46           5323          103
  104            46           5369          104
  105            46           5415          105
  106            46           5461          106
  107            46           5507          107
  108            46           5553          108
  109            46           5599          109
  110            46           5645          110
  111            46           5691          111
  112            46           5737          112
  113            46           5783          113
  114            46           5829          114
  115            46           5875          115
  116            46           5921          116
  117            46           5967          117
  118            46           6013          118
  119            46           6059          119
  120            46           6105          120
  121            46           6151          121
  122            45           6196          122
  123            30           6226          123
  124             2           6228          124
  125             2           6230          125
  126             2           6232          126
  127             2           6234          127
  128             2           6236          128
  129             2           6238          129
  130             2           6240          130
  131             2           6242          131
  132             2           6244          132
  133             2           6246          133
  134             2           6248          134
  135             2           6250          135
  136             2           6252          136
  137             2           6254          137
  138             2           6256          138
  139             2           6258          139
  140             2           6260          140
  141             2           6262          141
  142             2           6264          142
  143             2           6266          143
  144            91           6357          144
  145            23           6380          145
  146            28           6408          146
  147            32           6440          147
  148            32           6472          148
  149            32           6504          149
  150            32           6536          150
  151            33           6569          151
  152            33           6602          152
  153            33           6635          153
  154            33           6668          154
  155            33           6701          155
  156            33           6734          156
  157            33           6767          157
  158            33           6800          158
  159            33           6833          159
  160            33           6866          160
  161            33           6899          161
  162            33           6932          162
  163            33           6965          163
  164            33           6998          164
  165            48           7046          165
  166            63           7109          166
  167            64           7173          167
  168            64           7237          168
  169            64           7301          169
  170            64           7365          170
  171            64           7429          171
  172            65           7494          172
  173            65           7559          173
  174            65           7624          174
  175            65           7689          175
  176            65           7754          176
  177            65           7819          177
  178            65           7884          178
  179            65           7949          179
  180            65           8014          180
  181            65           8079          181
  182            39           8118          182
  183            33           8151          183
  184            33           8184          184
  185            33           8217          185
  186            33           8250          186
  187            33           8283          187
  188            33           8316          188
  189            33           8349          189
  190            34           8383          190
  191            34           8417          191
  192            34           8451          192
  193            34           8485          193
  194            34           8519          194
  195            34           8553          195
  196            34           8587          196
  197            34           8621          197
  198            34           8655          198
  199            34           8689          199
  200            34           8723          200
  201            34           8757          201
  202            83           8840          202
  203             8           8848          203
  204             2           8850          204
  205             2           8852          205
  206             2           8854          206
  207             2           8856          207
  208            10           8866          208

Page                       Shape Bytes    Text Bytes
-----------------------    -----------    ----------
Scene 1                           0             0

Symbol                     Shape Bytes    Text Bytes
-----------------------    -----------    ----------
Circle                           74             0
Planet                          114             0
Ship                            431             0

Bitmap                     Compressed  Original    Compression
-----------------------    ----------  ----------  ------------
