Movie Report
------------

Frame #    Frame Bytes    Total Bytes    Page
-------    -----------    -----------    ---------------
    1          4278           4278        Scene 1
    2            24           4302          2
    3            24           4326          3
    4            24           4350          4
    5            24           4374          5
    6            24           4398          6
    7            24           4422          7
    8            24           4446          8
    9            24           4470          9
   10            24           4494          10
   11           117           4611          11
   12            47           4658          12
   13            46           4704          13
   14            46           4750          14
   15            46           4796          15
   16            46           4842          16
   17            46           4888          17
   18            46           4934          18
   19            46           4980          19
   20            46           5026          20
   21           194           5220          21
   22            29           5249          22
   23            29           5278          23
   24            29           5307          24
   25            29           5336          25
   26            28           5364          26
   27            29           5393          27
   28            29           5422          28
   29            28           5450          29
   30            28           5478          30
   31            28           5506          31
   32            28           5534          32
   33           101           5635          33
   34            24           5659          34
   35            24           5683          35
   36            24           5707          36
   37            24           5731          37
   38            24           5755          38
   39            24           5779          39
   40            24           5803          40
   41            24           5827          41
   42            24           5851          42
   43            24           5875          43
   44            24           5899          44
   45            24           5923          45
   46            24           5947          46
   47            24           5971          47
   48            24           5995          48
   49            24           6019          49
   50            24           6043          50
   51            24           6067          51
   52            24           6091          52
   53            24           6115          53
   54            23           6138          54
   55            18           6156          55
   56             2           6158          56
   57             2           6160          57
   58             2           6162          58
   59             2           6164          59
   60             2           6166          60
   61             2           6168          61
   62             2           6170          62
   63             2           6172          63
   64             2           6174          64
   65            53           6227          65
   66            26           6253          66
   67             2           6255          67
   68             2           6257          68
   69             2           6259          69
   70             2           6261          70
   71             2           6263          71
   72             2           6265          72
   73             2           6267          73
   74             2           6269          74
   75             2           6271          75
   76             2           6273          76
   77             2           6275          77
   78             2           6277          78
   79             2           6279          79
   80             2           6281          80
   81             2           6283          81
   82             2           6285          82
   83           727           7012          83
   84             2           7014          84
   85           727           7741          85
   86             2           7743          86
   87             2           7745          87
   88             2           7747          88
   89           738           8485          89
   90             2           8487          90
   91           738           9225          91
   92             2           9227          92
   93             2           9229          93
   94             2           9231          94
   95             2           9233          95
   96           779          10012          96
   97             2          10014          97
   98             2          10016          98
   99             2          10018          99
  100           779          10797          100
  101             2          10799          101
  102             2          10801          102
  103             2          10803          103
  104           788          11591          104
  105             2          11593          105
  106             2          11595          106
  107           788          12383          107
  108             2          12385          108
  109             2          12387          109
  110             2          12389          110
  111           850          13239          111
  112             2          13241          112
  113           850          14091          113
  114             2          14093          114
  115             2          14095          115
  116           914          15009          116
  117             2          15011          117
  118           914          15925          118
  119             2          15927          119
  120             2          15929          120
  121             2          15931          121
  122           927          16858          122
  123             2          16860          123
  124           927          17787          124
  125             2          17789          125
  126           951          18740          126
  127             2          18742          127
  128             2          18744          128
  129           951          19695          129
  130             2          19697          130
  131           959          20656          131
  132             2          20658          132
  133             2          20660          133
  134           959          21619          134
  135             2          21621          135
  136             2          21623          136
  137             2          21625          137
  138           993          22618          138
  139            35          22653          139
  140            23          22676          140
  141            23          22699          141
  142            23          22722          142
  143            23          22745          143
  144            23          22768          144
  145            23          22791          145
  146            23          22814          146
  147            23          22837          147
  148            23          22860          148
  149            23          22883          149
  150            23          22906          150
  151            23          22929          151
  152            23          22952          152
  153            23          22975          153
  154            23          22998          154
  155            23          23021          155
  156            23          23044          156
  157            23          23067          157
  158            23          23090          158
  159            23          23113          159
  160            23          23136          160
  161            24          23160          161
  162            24          23184          162
  163            24          23208          163
  164            24          23232          164
  165            24          23256          165
  166          1375          24631          166
  167            29          24660          167
  168            23          24683          168
  169            23          24706          169
  170            23          24729          170
  171            23          24752          171
  172            23          24775          172
  173            23          24798          173
  174            24          24822          174
  175            24          24846          175
  176            24          24870          176
  177            24          24894          177
  178            24          24918          178
  179            24          24942          179
  180            24          24966          180
  181            24          24990          181
  182            24          25014          182
  183            24          25038          183
  184            24          25062          184
  185            24          25086          185
  186            24          25110          186
  187            24          25134          187
  188            24          25158          188
  189            24          25182          189
  190            24          25206          190
  191            24          25230          191
  192            24          25254          192
  193            24          25278          193
  194            24          25302          194
  195            25          25327          195
  196            25          25352          196
  197            25          25377          197
  198            25          25402          198
  199            25          25427          199
  200            25          25452          200
  201            25          25477          201
  202            25          25502          202
  203            25          25527          203
  204            25          25552          204
  205            25          25577          205
  206            25          25602          206
  207            25          25627          207
  208           115          25742          208
  209            54          25796          209
  210            24          25820          210
  211            24          25844          211
  212            24          25868          212
  213            24          25892          213
  214            24          25916          214
  215            24          25940          215
  216            24          25964          216
  217            25          25989          217
  218            25          26014          218
  219            25          26039          219
  220            25          26064          220
  221            25          26089          221
  222            25          26114          222
  223            25          26139          223
  224            25          26164          224
  225            25          26189          225
  226            25          26214          226
  227            25          26239          227
  228            25          26264          228
  229            25          26289          229
  230            25          26314          230
  231            25          26339          231
  232            26          26365          232
  233            26          26391          233
  234            26          26417          234
  235            26          26443          235
  236            26          26469          236
  237            26          26495          237
  238            26          26521          238
  239            26          26547          239
  240            26          26573          240
  241            26          26599          241
  242            26          26625          242
  243            26          26651          243
  244            26          26677          244
  245            26          26703          245
  246            26          26729          246
  247            26          26755          247
  248            26          26781          248
  249            26          26807          249
  250            26          26833          250
  251            26          26859          251
  252            26          26885          252
  253            26          26911          253
  254            26          26937          254
  255            26          26963          255
  256           103          27066          256
  257            32          27098          257
  258             2          27100          258
  259             2          27102          259
  260             2          27104          260
  261             2          27106          261
  262             2          27108          262
  263             2          27110          263
  264             2          27112          264
  265             2          27114          265
  266             2          27116          266
  267             2          27118          267
  268             2          27120          268
  269             2          27122          269
  270             2          27124          270
  271             2          27126          271
  272             2          27128          272
  273             2          27130          273
  274             2          27132          274
  275             2          27134          275
  276             2          27136          276
  277             2          27138          277
  278             2          27140          278
  279             2          27142          279
  280             2          27144          280
  281             2          27146          281
  282             2          27148          282
  283             2          27150          283
  284             2          27152          284
  285             2          27154          285
  286             2          27156          286

Page                       Shape Bytes    Text Bytes
-----------------------    -----------    ----------
Scene 1                           0         18377

Symbol                     Shape Bytes    Text Bytes
-----------------------    -----------    ----------

Bitmap                     Compressed  Original    Compression
-----------------------    ----------  ----------  ------------

Font Name                  Bytes       Characters
-----------------------    --------    -----------
Times New Roman                 0        
Courier New Bold             3416         ABCDEFGHIJKLMNOPQRSTUVWXYZ
